type,full,abbr,wrong_vis,regex_vis
s_nosp,Day34,D34,d34,d34(?![:digit:])
s_sp,Day34,D34,d 34,d\s34(?![:digit:])
s_us,Day34,D34,d_34,d\_34(?![:digit:])
f_nosp,Day34,D34,day34,day34(?![:digit:])
f_sp,Day34,D34,day 34,day\s34(?![:digit:])
f_us,Day34,D34,day_34,day\_34(?![:digit:])
abb_nosp,Day34,D34,d34,d34(?![:digit:])
abb_sp,Day34,D34,d 34,d\s34(?![:digit:])
abb_us,Day34,D34,d_34,d\_34(?![:digit:])
s_nosp,Day35,D35,d35,d35(?![:digit:])
s_sp,Day35,D35,d 35,d\s35(?![:digit:])
s_us,Day35,D35,d_35,d\_35(?![:digit:])
f_nosp,Day35,D35,day35,day35(?![:digit:])
f_sp,Day35,D35,day 35,day\s35(?![:digit:])
f_us,Day35,D35,day_35,day\_35(?![:digit:])
abb_nosp,Day35,D35,d35,d35(?![:digit:])
abb_sp,Day35,D35,d 35,d\s35(?![:digit:])
abb_us,Day35,D35,d_35,d\_35(?![:digit:])
s_nosp,Day36,D36,d36,d36(?![:digit:])
s_sp,Day36,D36,d 36,d\s36(?![:digit:])
s_us,Day36,D36,d_36,d\_36(?![:digit:])
f_nosp,Day36,D36,day36,day36(?![:digit:])
f_sp,Day36,D36,day 36,day\s36(?![:digit:])
f_us,Day36,D36,day_36,day\_36(?![:digit:])
abb_nosp,Day36,D36,d36,d36(?![:digit:])
abb_sp,Day36,D36,d 36,d\s36(?![:digit:])
abb_us,Day36,D36,d_36,d\_36(?![:digit:])
s_nosp,Day37,D37,d37,d37(?![:digit:])
s_sp,Day37,D37,d 37,d\s37(?![:digit:])
s_us,Day37,D37,d_37,d\_37(?![:digit:])
f_nosp,Day37,D37,day37,day37(?![:digit:])
f_sp,Day37,D37,day 37,day\s37(?![:digit:])
f_us,Day37,D37,day_37,day\_37(?![:digit:])
abb_nosp,Day37,D37,d37,d37(?![:digit:])
abb_sp,Day37,D37,d 37,d\s37(?![:digit:])
abb_us,Day37,D37,d_37,d\_37(?![:digit:])
s_nosp,Day38,D38,d38,d38(?![:digit:])
s_sp,Day38,D38,d 38,d\s38(?![:digit:])
s_us,Day38,D38,d_38,d\_38(?![:digit:])
f_nosp,Day38,D38,day38,day38(?![:digit:])
f_sp,Day38,D38,day 38,day\s38(?![:digit:])
f_us,Day38,D38,day_38,day\_38(?![:digit:])
abb_nosp,Day38,D38,d38,d38(?![:digit:])
abb_sp,Day38,D38,d 38,d\s38(?![:digit:])
abb_us,Day38,D38,d_38,d\_38(?![:digit:])
s_nosp,Day39,D39,d39,d39(?![:digit:])
s_sp,Day39,D39,d 39,d\s39(?![:digit:])
s_us,Day39,D39,d_39,d\_39(?![:digit:])
f_nosp,Day39,D39,day39,day39(?![:digit:])
f_sp,Day39,D39,day 39,day\s39(?![:digit:])
f_us,Day39,D39,day_39,day\_39(?![:digit:])
abb_nosp,Day39,D39,d39,d39(?![:digit:])
abb_sp,Day39,D39,d 39,d\s39(?![:digit:])
abb_us,Day39,D39,d_39,d\_39(?![:digit:])
s_nosp,Day40,D40,d40,d40(?![:digit:])
s_sp,Day40,D40,d 40,d\s40(?![:digit:])
s_us,Day40,D40,d_40,d\_40(?![:digit:])
f_nosp,Day40,D40,day40,day40(?![:digit:])
f_sp,Day40,D40,day 40,day\s40(?![:digit:])
f_us,Day40,D40,day_40,day\_40(?![:digit:])
abb_nosp,Day40,D40,d40,d40(?![:digit:])
abb_sp,Day40,D40,d 40,d\s40(?![:digit:])
abb_us,Day40,D40,d_40,d\_40(?![:digit:])
s_nosp,Day41,D41,d41,d41(?![:digit:])
s_sp,Day41,D41,d 41,d\s41(?![:digit:])
s_us,Day41,D41,d_41,d\_41(?![:digit:])
f_nosp,Day41,D41,day41,day41(?![:digit:])
f_sp,Day41,D41,day 41,day\s41(?![:digit:])
f_us,Day41,D41,day_41,day\_41(?![:digit:])
abb_nosp,Day41,D41,d41,d41(?![:digit:])
abb_sp,Day41,D41,d 41,d\s41(?![:digit:])
abb_us,Day41,D41,d_41,d\_41(?![:digit:])
s_nosp,Day42,D42,d42,d42(?![:digit:])
s_sp,Day42,D42,d 42,d\s42(?![:digit:])
s_us,Day42,D42,d_42,d\_42(?![:digit:])
f_nosp,Day42,D42,day42,day42(?![:digit:])
f_sp,Day42,D42,day 42,day\s42(?![:digit:])
f_us,Day42,D42,day_42,day\_42(?![:digit:])
abb_nosp,Day42,D42,d42,d42(?![:digit:])
abb_sp,Day42,D42,d 42,d\s42(?![:digit:])
abb_us,Day42,D42,d_42,d\_42(?![:digit:])
s_nosp,Day43,D43,d43,d43(?![:digit:])
s_sp,Day43,D43,d 43,d\s43(?![:digit:])
s_us,Day43,D43,d_43,d\_43(?![:digit:])
f_nosp,Day43,D43,day43,day43(?![:digit:])
f_sp,Day43,D43,day 43,day\s43(?![:digit:])
f_us,Day43,D43,day_43,day\_43(?![:digit:])
abb_nosp,Day43,D43,d43,d43(?![:digit:])
abb_sp,Day43,D43,d 43,d\s43(?![:digit:])
abb_us,Day43,D43,d_43,d\_43(?![:digit:])
s_nosp,Day44,D44,d44,d44(?![:digit:])
s_sp,Day44,D44,d 44,d\s44(?![:digit:])
s_us,Day44,D44,d_44,d\_44(?![:digit:])
f_nosp,Day44,D44,day44,day44(?![:digit:])
f_sp,Day44,D44,day 44,day\s44(?![:digit:])
f_us,Day44,D44,day_44,day\_44(?![:digit:])
abb_nosp,Day44,D44,d44,d44(?![:digit:])
abb_sp,Day44,D44,d 44,d\s44(?![:digit:])
abb_us,Day44,D44,d_44,d\_44(?![:digit:])
s_nosp,Day45,D45,d45,d45(?![:digit:])
s_sp,Day45,D45,d 45,d\s45(?![:digit:])
s_us,Day45,D45,d_45,d\_45(?![:digit:])
f_nosp,Day45,D45,day45,day45(?![:digit:])
f_sp,Day45,D45,day 45,day\s45(?![:digit:])
f_us,Day45,D45,day_45,day\_45(?![:digit:])
abb_nosp,Day45,D45,d45,d45(?![:digit:])
